location,tile,domain_idx,domain_name,mean_prob,max_prob,pct_slum_p50,pct_slum_p70
korail,korail_z16_x49224_y28307.jpg,0,Cairo,0.1484,0.5944,3.52,0.0
korail,korail_z16_x49225_y28307.jpg,0,Cairo,0.5755,0.8438,67.75,44.47
korail,korail_z16_x49226_y28307.jpg,0,Cairo,0.1983,0.8076,19.35,12.39
korail,korail_z16_x49224_y28308.jpg,0,Cairo,0.3841,0.7629,43.72,7.29
korail,korail_z16_x49225_y28308.jpg,0,Cairo,0.2971,0.6442,14.61,0.0
korail,korail_z16_x49226_y28308.jpg,0,Cairo,0.1216,0.4946,0.0,0.0
korail,korail_z16_x49224_y28309.jpg,0,Cairo,0.135,0.4252,0.0,0.0
korail,korail_z16_x49225_y28309.jpg,0,Cairo,0.2815,0.6508,11.72,0.0
korail,korail_z16_x49226_y28309.jpg,0,Cairo,0.3561,0.6534,36.19,0.0
mirpur,mirpur_z16_x49216_y28302.jpg,0,Cairo,0.2128,0.5432,0.17,0.0
mirpur,mirpur_z16_x49217_y28302.jpg,0,Cairo,0.3221,0.7395,20.52,2.91
mirpur,mirpur_z16_x49218_y28302.jpg,0,Cairo,0.3157,0.5828,0.82,0.0
mirpur,mirpur_z16_x49216_y28303.jpg,0,Cairo,0.1942,0.4741,0.0,0.0
mirpur,mirpur_z16_x49217_y28303.jpg,0,Cairo,0.3412,0.6957,18.33,0.0
mirpur,mirpur_z16_x49218_y28303.jpg,0,Cairo,0.193,0.4232,0.0,0.0
mirpur,mirpur_z16_x49216_y28304.jpg,0,Cairo,0.2167,0.5255,0.07,0.0
mirpur,mirpur_z16_x49217_y28304.jpg,0,Cairo,0.2847,0.5221,0.64,0.0
mirpur,mirpur_z16_x49218_y28304.jpg,0,Cairo,0.1082,0.2312,0.0,0.0
old_dhaka,old_dhaka_z16_x49221_y28321.jpg,0,Cairo,0.1072,0.3232,0.0,0.0
old_dhaka,old_dhaka_z16_x49222_y28321.jpg,0,Cairo,0.2719,0.5965,5.2,0.0
old_dhaka,old_dhaka_z16_x49223_y28321.jpg,0,Cairo,0.1087,0.3504,0.0,0.0
old_dhaka,old_dhaka_z16_x49221_y28322.jpg,0,Cairo,0.1781,0.5287,0.28,0.0
old_dhaka,old_dhaka_z16_x49222_y28322.jpg,0,Cairo,0.1799,0.5588,0.99,0.0
old_dhaka,old_dhaka_z16_x49223_y28322.jpg,0,Cairo,0.3456,0.6768,32.55,0.0
old_dhaka,old_dhaka_z16_x49221_y28323.jpg,0,Cairo,0.1906,0.5453,1.87,0.0
old_dhaka,old_dhaka_z16_x49222_y28323.jpg,0,Cairo,0.2171,0.5983,6.64,0.0
old_dhaka,old_dhaka_z16_x49223_y28323.jpg,0,Cairo,0.1785,0.519,0.12,0.0
